"","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"OTU1","Fungi","Ascomycota","Sordariomycetes","Sordariales","Sordariaceae",NA,NA
"OTU2","Fungi","Ascomycota","Sordariomycetes","Sordariales","Chaetomiaceae","Botryotrichum",NA
"OTU3","Fungi","Ascomycota","Sordariomycetes","Sordariales",NA,NA,NA
"OTU4","Fungi","Ascomycota","Sordariomycetes","Glomerellales","Plectosphaerellaceae",NA,NA
"OTU5","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Fusarium",NA
"OTU6","Fungi","Ascomycota","Dothideomycetes","Capnodiales","Cladosporiaceae","Cladosporium",NA
"OTU7","Fungi",NA,NA,NA,NA,NA,NA
"OTU8","Fungi","Ascomycota","Sordariomycetes","Glomerellales","Plectosphaerellaceae","Verticillium","Verticillium dahliae"
"OTU9","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Aspergillus",NA
"OTU10","Fungi","Ascomycota","Sordariomycetes","Sordariales","Chaetomiaceae",NA,NA
"OTU11","Fungi","Basidiomycota","Tremellomycetes","Filobasidiales","Piskurozymaceae","Solicoccozyma","Solicoccozyma aeria"
"OTU12","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Acremonium","Acremonium acutatum",NA
"OTU13","Viridiplantae","Anthophyta","Eudicotyledonae","Cucurbitales","Cucurbitaceae","Cucurbita","Cucurbita pepo"
"OTU15","Fungi","Ascomycota","Pezizomycetes","Pezizales","Pyronemataceae","Cheilymenia","Cheilymenia vitellina"
"OTU16","Fungi","Ascomycota","Sordariomycetes","Sordariales","Lasiosphaeriaceae","Podospora",NA
"OTU17","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Aspergillus","Aspergillus nidulans"
"OTU18","Fungi","Ascomycota","Sordariomycetes","Sordariales","Chaetomiaceae","Myceliophthora",NA
"OTU19","Fungi","Ascomycota",NA,NA,NA,NA,NA
"OTU20","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Aspergillus",NA
"OTU21","Fungi","Ascomycota","Sordariomycetes","Sordariales","Chaetomiaceae","Chaetomium",NA
"OTU22","Fungi","Ascomycota","Sordariomycetes","Sordariales","Chaetomiaceae",NA,NA
"OTU23","Fungi","Ascomycota","Pezizomycetes","Pezizales","Ascobolaceae","Ascobolus",NA
"OTU24","Fungi","Ascomycota","Sordariomycetes","Sordariales","Chaetomiaceae",NA,NA
"OTU25","Fungi","Mortierellomycota","Mortierellomycetes","Mortierellales","Mortierellaceae","Mortierella","Mortierella elongata"
"OTU26","Fungi","Ascomycota","Sordariomycetes","Sordariales","Chaetomiaceae","Botryotrichum","Botryotrichum peruvianum"
"OTU27","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Sporormiaceae","Sporormia","Sporormia subticinensis"
"OTU28","Fungi","Ascomycota","Sordariomycetes","Glomerellales","Plectosphaerellaceae","Plectosphaerella",NA
"OTU29","Fungi","Ascomycota",NA,NA,NA,NA,NA
"OTU30","Fungi","Ascomycota","Eurotiomycetes","Onygenales","Chrysosporium","Chrysosporium lobatum",NA
"OTU31","Fungi","Ascomycota",NA,NA,NA,NA,NA
"OTU32","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Bolbitiaceae","Agrocybe",NA
"OTU33","Fungi","Ascomycota","Sordariomycetes","Sordariales",NA,NA,NA
"OTU34","Fungi","Ascomycota","Sordariomycetes","Sordariales","Lasiosphaeriaceae","Cladorrhinum","Cladorrhinum bulbillosum"
"OTU35","Fungi","Ascomycota","Dothideomycetes","Pleosporales",NA,NA,NA
"OTU36","Fungi","Ascomycota","Sordariomycetes","Sordariales","Chaetomiaceae","Humicola","Humicola grisea"
"OTU37","Fungi","Ascomycota","Sordariomycetes","Glomerellales","Plectosphaerellaceae","Chordomyces","Chordomyces antarcticus"
"OTU38","Fungi","Ascomycota","Leotiomycetes","Thelebolales",NA,NA,NA
"OTU39","Fungi","Ascomycota","Sordariomycetes","Hypocreales",NA,NA,NA
"OTU40","Fungi","Ascomycota","Saccharomycetes","Saccharomycetales",NA,NA,NA
"OTU41","Fungi","Ascomycota","Sordariomycetes","Sordariales","Lasiosphaeriaceae","Schizothecium","Schizothecium inaequale"
"OTU42","Fungi","Ascomycota","Sordariomycetes","Sordariales","Lasiosphaeriaceae","Cercophora","Cercophora samala"
"OTU43","Fungi","Ascomycota","Eurotiomycetes","Onygenales",NA,NA,NA
"OTU45","Fungi","Mortierellomycota","Mortierellomycetes","Mortierellales","Mortierellaceae","Mortierella","Mortierella alpina"
"OTU46","Fungi","Ascomycota","Sordariomycetes","Microascales","Microascaceae","Microascus","Microascus campaniformis"
"OTU47","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Bionectriaceae","Clonostachys","Clonostachys rosea"
"OTU48","Fungi","Ascomycota","Eurotiomycetes","Onygenales","Gymnoascaceae","Gymnoascus","Gymnoascus reessii"
"OTU49","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Aspergillus","Aspergillus terreus"
"OTU50","Fungi","Ascomycota","Sordariomycetes","Glomerellales","Plectosphaerellaceae","Acrostalagmus",NA
"OTU51","Fungi","Ascomycota","Pezizomycetes","Pezizales",NA,NA,NA
"OTU52","Fungi",NA,NA,NA,NA,NA,NA
"OTU53","Fungi","Ascomycota","Sordariomycetes","Hypocreales",NA,NA,NA
"OTU54","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Corynesporascaceae","Corynespora","Corynespora cassiicola"
"OTU55","Fungi","Ascomycota","Eurotiomycetes","Onygenales","Gymnoascaceae",NA,NA
"OTU56","Fungi","Ascomycota","Sordariomycetes","Sordariales",NA,NA,NA
"OTU57","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Penicillium","Penicillium menonorum"
"OTU59","Fungi","Ascomycota","Sordariomycetes","Sordariales","Chaetomiaceae","Botryotrichum","Botryotrichum peruvianum"
"OTU60","Fungi","Ascomycota","Leotiomycetes","Helotiales","Dermateaceae","Trichosporiella",NA
"OTU61","Fungi","Ascomycota","Sordariomycetes","Sordariales","Chaetomiaceae",NA,NA
"OTU62","Fungi","Ascomycota","Leotiomycetes","Thelebolales","Pseudeurotiaceae","Pseudogymnoascus",NA
"OTU63","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Clavicipitaceae","Metacordyceps","Metacordyceps chlamydosporia"
"OTU64","Fungi","Ascomycota","Sordariomycetes","Sordariales","Chaetomiaceae",NA,NA
"OTU65","Fungi","Ascomycota","Sordariomycetes","Sordariales","Chaetomiaceae","Botryotrichum","Botryotrichum peruvianum"
"OTU66","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Emericellopsis","Emericellopsis glabra",NA
"OTU67","Fungi","Ascomycota","Eurotiomycetes","Onygenales",NA,NA,NA
"OTU68","Fungi","Ascomycota","Sordariomycetes","Glomerellales","Plectosphaerellaceae",NA,NA
"OTU69","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Didymosphaeriaceae","Paraphaeosphaeria","Paraphaeosphaeria parmeliae"
"OTU70","Fungi","Ascomycota","Dothideomycetes","Botryosphaeriales","Botryosphaeriaceae","Neofusicoccum","Neofusicoccum parvum"
"OTU71","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Sarocladium","Sarocladium kiliense",NA
"OTU72","Fungi","Basidiomycota","Agaricomycetes","Cantharellales","Minimedusa","Minimedusa polyspora",NA
"OTU73","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Aspergillus",NA
"OTU74","Fungi","Ascomycota","Sordariomycetes","Microascales","Microascaceae","Scedosporium",NA
"OTU75","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Penicillium",NA
"OTU76","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Aspergillus","Aspergillus osmophilus"
"OTU77","Fungi","Basidiomycota",NA,NA,NA,NA,NA
"OTU78","Fungi","Ascomycota","Pezizomycetes",NA,NA,NA,NA
"OTU79","Fungi",NA,NA,NA,NA,NA,NA
"OTU80","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Hypocreaceae","Trichoderma",NA
"OTU81","Fungi","Ascomycota","Sordariomycetes","Coniochaetales","Coniochaetaceae","Coniochaeta","Coniochaeta canina"
"OTU82","Fungi","Aphelidiomycota","Aphelidiomycetes",NA,NA,NA,NA
"OTU83","Fungi","Basidiomycota","Agaricomycetes","Agaricales",NA,NA,NA
"OTU84","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Sporormiaceae","Preussia",NA
"OTU85","Fungi","Ascomycota","Sordariomycetes","Sordariales",NA,NA,NA
"OTU86","Fungi","Ascomycota","Sordariomycetes","Coniochaetales","Coniochaetaceae","Coniochaeta",NA
"OTU87","Fungi","Ascomycota","Dothideomycetes","Pleosporales",NA,NA,NA
"OTU88","Fungi","Ascomycota","Sordariomycetes","Sordariales","Madurella",NA,NA
"OTU89","Fungi","Ascomycota","Sordariomycetes","Microascales","Microascaceae","Petriella",NA
"OTU90","Fungi","Ascomycota","Sordariomycetes","Sordariales",NA,NA,NA
"OTU91","Fungi","Ascomycota","Sordariomycetes","Sordariales","Lasiosphaeriaceae",NA,NA
"OTU92","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Paracremonium",NA
"OTU93","Fungi","Mortierellomycota","Mortierellomycetes","Mortierellales","Mortierellaceae","Mortierella","Mortierella ambigua"
"OTU94","Fungi","Basidiomycota","Tremellomycetes","Tremellales",NA,NA,NA
"OTU95","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Cordycipitaceae","Cordyceps","Cordyceps memorabilis"
"OTU97","Fungi","Ascomycota","Sordariomycetes",NA,NA,NA,NA
"OTU98","Fungi","Ascomycota","Sordariomycetes","Sordariales","Lasiosphaeriaceae","Schizothecium","Schizothecium inaequale"
"OTU99","Fungi","Basidiomycota","Tremellomycetes","Cystofilobasidiales","Mrakiaceae","Tausonia","Tausonia pullulans"
"OTU100","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Aspergillus",NA
"OTU101","Fungi","Ascomycota","Sordariomycetes","Sordariales",NA,NA,NA
"OTU102","Fungi","Ascomycota","Leotiomycetes","Helotiales","Helotiaceae","Bisporella","Bisporella citrina"
"OTU103","Fungi","Ascomycota","Pezizomycetes","Pezizales","Ascobolaceae","Ascobolus",NA
"OTU104","Fungi","Ascomycota","Sordariomycetes","Microascales","Cephalotrichiella","Cephalotrichiella penicillata",NA
"OTU105","Fungi","Ascomycota","Sordariomycetes","Sordariales","Lasiosphaeriaceae","Podospora",NA
"OTU106","Fungi",NA,NA,NA,NA,NA,NA
"OTU107","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Bolbitiaceae","Conocybe",NA
"OTU108","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Polyschema","Polyschema sclerotigenum",NA
"OTU109","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Thelonectria","Thelonectria olida"
"OTU110","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Stephanosporaceae",NA,NA
"OTU111","Fungi","Ascomycota","Sordariomycetes","Xylariales","Bartaliniaceae","Truncatella","Truncatella angustata"
"OTU112","Fungi","Mortierellomycota","Mortierellomycetes","Mortierellales","Mortierellaceae","Mortierella",NA
"OTU113","Fungi","Olpidiomycota","Olpidiomycetes","Olpidiales","Olpidiaceae","Olpidium","Olpidium brassicae"
"OTU114","Fungi","Ascomycota","Eurotiomycetes","Chaetothyriales","Herpotrichiellaceae","Exophiala","Exophiala dermatitidis"
"OTU115","Fungi","Basidiomycota","Agaricomycetes","Geastrales","Geastraceae","Geastrum",NA
"OTU116","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Penicillium","Penicillium restrictum"
"OTU117","Fungi","Ascomycota","Sordariomycetes","Sordariales","Chaetomiaceae",NA,NA
"OTU118","Fungi","Ascomycota","Sordariomycetes",NA,NA,NA,NA
"OTU119","Fungi","Ascomycota","Pezizomycetes","Pezizales","Pezizaceae",NA,NA
"OTU120","Fungi","Ascomycota","Sordariomycetes","Microascales","Microascaceae",NA,NA
"OTU121","Fungi","Ascomycota","Sordariomycetes","Sordariales","Lasiosphaeriaceae",NA,NA
"OTU122","Fungi","Ascomycota","Sordariomycetes","Glomerellales","Plectosphaerellaceae","Stachylidium",NA
"OTU123","Fungi","Ascomycota","Sordariomycetes","Microascales","Microascaceae","Lophotrichus","Lophotrichus fimeti"
"OTU124","Viridiplantae","Anthophyta","Eudicotyledonae","Fabales","Fabaceae","Cyamopsis",NA
"OTU125","Fungi","Mortierellomycota","Mortierellomycetes","Mortierellales","Mortierellaceae","Mortierella",NA
"OTU126","Fungi","Ascomycota","Dothideomycetes","Venturiales","Sympoventuriaceae","Ochroconis","Ochroconis minima"
"OTU127","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Stachybotryaceae",NA,NA
"OTU128","Fungi","Ascomycota","Sordariomycetes",NA,NA,NA,NA
"OTU129","Fungi",NA,NA,NA,NA,NA,NA
"OTU130","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Entolomataceae","Entoloma",NA
"OTU131","Fungi","Chytridiomycota","Spizellomycetes","Spizellomycetales","Spizellomycetaceae","Spizellomyces",NA
"OTU132","Fungi","Ascomycota","Sordariomycetes","Sordariales","Chaetomiaceae","Botryotrichum","Botryotrichum peruvianum"
"OTU133","Fungi","Ascomycota","Dothideomycetes","Pleosporales",NA,NA,NA
"OTU134","Fungi","Ascomycota","Sordariomycetes","Sordariales","Lasiosphaeriaceae",NA,NA
"OTU135","Fungi","Ascomycota","Eurotiomycetes","Onygenales","Gymnoascaceae","Gymnascella","Gymnascella hyalinospora"
"OTU136","Fungi","Ascomycota","Pezizomycetes","Pezizales","Pezizaceae","Peziza","Peziza buxea"
"OTU137","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Hypocreaceae","Trichoderma",NA
"OTU138","Fungi","Ascomycota","Sordariomycetes","Hypocreales",NA,NA,NA
"OTU139","Fungi","Basidiomycota","Agaricomycetes","Auriculariales",NA,NA,NA
"OTU140","Fungi","Ascomycota","Orbiliomycetes","Orbiliales","Orbiliaceae",NA,NA
"OTU141","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Stachybotryaceae",NA,NA
"OTU142","Fungi","Ascomycota","Leotiomycetes","Thelebolales","Pseudeurotiaceae","Geomyces",NA
"OTU143","Fungi","Ascomycota","Leotiomycetes","Thelebolales","Pseudeurotiaceae","Geomyces",NA
"OTU144","Fungi","Ascomycota","Saccharomycetes","Saccharomycetales","Phaffomycetaceae","Cyberlindnera","Cyberlindnera saturnus"
"OTU145","Fungi","Ascomycota","Sordariomycetes","Sordariales","Chaetomiaceae","Botryotrichum","Botryotrichum peruvianum"
"OTU146","Fungi","Ascomycota","Sordariomycetes","Sordariales","Sordariaceae","Sordaria","Sordaria fimicola"
"OTU147","Fungi","Basidiomycota","Agaricomycetes","Boletales",NA,NA,NA
"OTU148","Fungi","Ascomycota","Sordariomycetes","Sordariales",NA,NA,NA
"OTU149","Fungi","Basidiomycota","Tremellomycetes","Tremellales","Bulleribasidiaceae","Vishniacozyma","Vishniacozyma carnescens"
"OTU150","Fungi","Ascomycota","Pezizomycetes","Pezizales","Pyronemataceae","Trichophaeopsis",NA
"OTU151","Fungi","Ascomycota","Orbiliomycetes","Orbiliales","Orbiliaceae",NA,NA
"OTU153","Fungi","Ascomycota","Sordariomycetes","Sordariales","Lasiosphaeriaceae",NA,NA
"OTU154","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Psathyrellaceae","Psathyrella","Psathyrella luteopallida"
"OTU155","Fungi","Ascomycota","Sordariomycetes","Microascales","Microascaceae","Scedosporium","Scedosporium prolificans"
"OTU156","Fungi","Chytridiomycota","Rhizophlyctidomycetes","Rhizophlyctidales","Rhizophlyctidaceae","Rhizophlyctis","Rhizophlyctis rosea"
"OTU157","Fungi","Basidiomycota","Agaricomycetes","Cantharellales","Ceratobasidiaceae","Thanatephorus","Thanatephorus cucumeris"
"OTU158","Fungi","Ascomycota","Saccharomycetes","Saccharomycetales","Trichomonascaceae","Blastobotrys","Blastobotrys malaysiensis"
"OTU159","Fungi","Ascomycota",NA,NA,NA,NA,NA
"OTU160","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Penicillium","Penicillium brevicompactum"
"OTU161","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Bionectriaceae","Bionectria","Bionectria rossmaniae"
"OTU162","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Aspergillus",NA
"OTU163","Fungi","Glomeromycota","Paraglomeromycetes",NA,NA,NA,NA
"OTU164","Fungi","Ascomycota","Sordariomycetes","Hypocreales",NA,NA,NA
"OTU165","Fungi","Ascomycota","Leotiomycetes","Helotiales",NA,NA,NA
"OTU166","Fungi","Ascomycota","Orbiliomycetes","Orbiliales","Orbiliaceae","Hyalorbilia","Hyalorbilia juliae"
"OTU167","Fungi","Ascomycota","Sordariomycetes","Xylariales","Xylariaceae","Ascotricha","Ascotricha guamensis"
"OTU168","Fungi","Ascomycota","Saccharomycetes","Saccharomycetales",NA,NA,NA
"OTU169","Fungi","Glomeromycota","Paraglomeromycetes","Paraglomerales",NA,NA,NA
"OTU170","Fungi","Chytridiomycota","Chytridiomycetes","Chytridiales","Chytridiaceae","Phlyctochytrium","Phlyctochytrium reinboldtiae"
"OTU171","Fungi","Ascomycota","Sordariomycetes","Glomerellales","Plectosphaerellaceae","Gibellulopsis","Gibellulopsis nigrescens"
"OTU172","Fungi","Ascomycota",NA,NA,NA,NA,NA
"OTU173","Fungi","Ascomycota","Sordariomycetes","Glomerellales","Glomerellaceae","Colletotrichum","Colletotrichum coccodes"
"OTU174","Fungi","Basidiomycota","Wallemiomycetes","Wallemiales","Wallemiaceae","Wallemia","Wallemia mellicola"
"OTU175","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Didymosphaeriaceae","Paraconiothyrium","Paraconiothyrium fuckelii"
"OTU176","Fungi","Ascomycota","Laboulbeniomycetes","Pyxidiophorales","Pyxidiophoraceae","Pyxidiophora","Pyxidiophora arvernensis"
"OTU177","Fungi","Ascomycota","Sordariomycetes","Coniochaetales","Coniochaetaceae","Coniochaeta","Coniochaeta ligniaria"
"OTU178","Fungi","Ascomycota","Sordariomycetes","Sordariales","Lasiosphaeriaceae","Apodus","Apodus oryzae"
"OTU179","Fungi","Ascomycota","Dothideomycetes","Pleosporales",NA,NA,NA
"OTU180","Fungi","Ascomycota","Dothideomycetes","Pleosporales",NA,NA,NA
"OTU181","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Bolbitiaceae","Bolbitius","Bolbitius coprophilus"
"OTU182","Fungi","Ascomycota","Sordariomycetes","Sordariales","Lasiosphaeriaceae",NA,NA
"OTU183","Fungi","Chytridiomycota","Spizellomycetes","Spizellomycetales","Spizellomycetaceae","Spizellomyces","Spizellomyces dolichospermus"
"OTU184","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Penicillium","Penicillium citrinum"
"OTU185","Fungi","Chytridiomycota",NA,NA,NA,NA,NA
"OTU186","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Trichocomaceae","Talaromyces",NA
"OTU187","Viridiplantae","Anthophyta","Eudicotyledonae","Brassicales","Brassicaceae",NA,NA
"OTU188","",NA,NA,NA,NA,NA,NA
"OTU189","Fungi","Ascomycota","Pezizomycetes","Pezizales",NA,NA,NA
"OTU190","Fungi","Basidiomycota","Microbotryomycetes","Sporidiobolales",NA,NA,NA
"OTU192","Fungi","Ascomycota","Sordariomycetes","Hypocreales",NA,NA,NA
"OTU193","Fungi","Ascomycota","Pezizomycetes","Pezizales","Pyronemataceae","Paurocotylis",NA
"OTU194","Viridiplantae","Anthophyta","Eudicotyledonae","Solanales","Solanaceae","Solanum","Solanum annuum"
"OTU195","Fungi","Ascomycota","Sordariomycetes","Hypocreales",NA,NA,NA
"OTU196","Fungi","Ascomycota","Leotiomycetes","Helotiales","Chaetomellaceae","Chaetomella","Chaetomella raphigera"
"OTU197","Fungi","Ascomycota","Sordariomycetes","Sordariales","Lasiosphaeriaceae","Podospora",NA
"OTU198","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Polyschema","Polyschema sclerotigenum",NA
"OTU200","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Penicillium","Penicillium raperi"
"OTU201","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Fusicolla","Fusicolla merismoides"
"OTU202","Fungi","Ascomycota","Sordariomycetes",NA,NA,NA,NA
"OTU203","Viridiplantae","Anthophyta","Eudicotyledonae","Fabales","Fabaceae","Lablab",NA
"OTU204","Fungi","Ascomycota","Dothideomycetes","Pleosporales",NA,NA,NA
"OTU205","Fungi","Basidiomycota","Agaricomycetes","Agaricales",NA,NA,NA
"OTU206","Fungi","Ascomycota","Sordariomycetes","Sordariales",NA,NA,NA
"OTU207","Fungi","Ascomycota","Sordariomycetes","Sordariales","Lasiosphaeriaceae","Arnium",NA
"OTU208","Fungi","Ascomycota",NA,NA,NA,NA,NA
"OTU209","Fungi","Ascomycota","Sordariomycetes","Sordariales","Ramophialophora","Ramophialophora humicola",NA
"OTU210","Fungi","Ascomycota","Sordariomycetes","Sordariales","Chaetomiaceae","Humicola","Humicola phialophoroides"
"OTU211","Fungi","Ascomycota","Dothideomycetes","Tubeufiales","Tubeufiaceae","Helicoma",NA
"OTU212","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Typhulaceae","Typhula",NA
"OTU213","Fungi","Mortierellomycota","Mortierellomycetes","Mortierellales","Mortierellaceae","Mortierella",NA
"OTU214","Fungi","Ascomycota","Sordariomycetes","Sordariales","Chaetomiaceae","Chaetomium",NA
"OTU215","Fungi","Basidiomycota","Agaricomycetes","Agaricales",NA,NA,NA
"OTU216","Fungi","Basidiomycota","Tremellomycetes","Tremellales",NA,NA,NA
"OTU217","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Cordycipitaceae",NA,NA
"OTU218","Viridiplantae","Anthophyta","Eudicotyledonae","Cucurbitales","Cucurbitaceae","Cucumis","Cucumis leiospermus"
"OTU219","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Entolomataceae","Entoloma","Entoloma graphitipes f graphitipes"
"OTU220","Fungi","Mucoromycota","Mucoromycetes","Mucorales","Mucoraceae","Mucor","Mucor racemosus"
"OTU221","Viridiplantae","Anthophyta","Eudicotyledonae","Fabales","Fabaceae","Psophocarpus",NA
"OTU222","Fungi","Glomeromycota","Glomeromycetes","Diversisporales","Acaulosporaceae","Acaulospora","Acaulospora mellea"
"OTU223","Fungi","Ascomycota","Sordariomycetes","Xylariales","Sporocadaceae","Adisciso","Adisciso tricellulare"
"OTU224","Fungi","Glomeromycota","Paraglomeromycetes",NA,NA,NA,NA
"OTU225","Fungi","Ascomycota","Dothideomycetes","Pleosporales",NA,NA,NA
"OTU226","Viridiplantae","Anthophyta","Eudicotyledonae","Solanales","Solanaceae","Solanum",NA
"OTU227","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Penicillium",NA
"OTU228","Fungi","Ascomycota","Sordariomycetes","Sordariales",NA,NA,NA
"OTU229","Fungi","Basidiomycota","Tremellomycetes","Tremellales","Tremellaceae","Cryptococcus","Cryptococcus foliicola"
"OTU230","Fungi","Mortierellomycota","Mortierellomycetes","Mortierellales","Mortierellaceae","Mortierella","Mortierella exigua"
"OTU231","Metazoa","Arthropoda","Insecta","Diptera",NA,NA,NA
"OTU232","Fungi","Ascomycota","Sordariomycetes","Microascales","Halosphaeriaceae",NA,NA
"OTU233","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Entolomataceae","Clitopilus",NA
"OTU234","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Periconiaceae","Periconia","Periconia macrospinosa"
"OTU235","Fungi","Ascomycota","Sordariomycetes","Microascales","Microascaceae","Microascus","Microascus croci"
"OTU236","Fungi","Ascomycota","Sordariomycetes","Sordariales","Chaetomiaceae",NA,NA
"OTU237","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Sarocladium","Sarocladium subulatum",NA
"OTU238","Fungi","Chytridiomycota","Spizellomycetes","Spizellomycetales",NA,NA,NA
"OTU239","Fungi","Ascomycota","Sordariomycetes",NA,NA,NA,NA
"OTU240","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Acremonium","Acremonium hyalinulum",NA
"OTU241","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Aspergillus","Aspergillus sydowii"
"OTU242","Fungi","Glomeromycota","Paraglomeromycetes",NA,NA,NA,NA
"OTU243","Fungi","Ascomycota","Sordariomycetes","Sordariales",NA,NA,NA
"OTU244","Fungi","Ascomycota","Orbiliomycetes","Orbiliales",NA,NA,NA
"OTU245","Fungi","Ascomycota","Eurotiomycetes","Chaetothyriales","Trichomeriaceae","Arthrocladium",NA
"OTU246","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae",NA,NA
"OTU247","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Neonectria",NA
"OTU248","Fungi","Ascomycota","Sordariomycetes","Glomerellales","Plectosphaerellaceae","Acrostalagmus","Acrostalagmus luteoalbus"
"OTU249","Fungi","Ascomycota","Sordariomycetes","Coniochaetales",NA,NA,NA
"OTU250","Fungi","Ascomycota","Sordariomycetes","Sordariales","Chaetomiaceae","Chaetomium",NA
"OTU251","Fungi","Basidiomycota","Tremellomycetes","Filobasidiales","Filobasidiaceae","Naganishia","Naganishia cerealis"
"OTU252","Fungi","Ascomycota","Sordariomycetes","Hypocreales",NA,NA,NA
"OTU253","Fungi","Ascomycota","Sordariomycetes","Myrmecridiales","Myrmecridiaceae","Myrmecridium","Myrmecridium schulzeri"
"OTU254","Fungi","Olpidiomycota","Olpidiomycetes","Olpidiales","Olpidiaceae","Olpidium","Olpidium brassicae"
"OTU255","Fungi","Ascomycota","Sordariomycetes","Hypocreales",NA,NA,NA
"OTU257","Fungi","Chytridiomycota","Spizellomycetes","Spizellomycetales",NA,NA,NA
"OTU258","Fungi","Ascomycota","Sordariomycetes","Microascales","Microascaceae","Scedosporium","Scedosporium prolificans"
"OTU259","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Sporormiaceae","Preussia","Preussia globosa"
"OTU260","Fungi","Ascomycota","Pezizomycetes","Pezizales","Pezizaceae","Peziza",NA
"OTU261","Fungi","Ascomycota","Pezizomycetes","Pezizales","Pezizaceae",NA,NA
"OTU262","Fungi","Ascomycota","Sordariomycetes","Lulworthiales",NA,NA,NA
"OTU263","",NA,NA,NA,NA,NA,NA
"OTU264","Fungi","Ascomycota","Sordariomycetes","Microascales","Microascaceae","Pithoascus","Pithoascus nidicola"
"OTU266","Fungi","Basidiomycota","Agaricomycetes","Agaricales",NA,NA,NA
"OTU267","Fungi","Ascomycota","Sordariomycetes","Microascales","Microascaceae","Pithoascus","Pithoascus ater"
"OTU268","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Aspergillus",NA
"OTU269","Fungi","Ascomycota","Sordariomycetes","Sordariales",NA,NA,NA
"OTU270","Fungi","Ascomycota","Sordariomycetes","Sordariales",NA,NA,NA
"OTU271","Fungi","Ascomycota","Laboulbeniomycetes","Pyxidiophorales",NA,NA,NA
"OTU272","Fungi","Mortierellomycota","Mortierellomycetes","Mortierellales","Mortierellaceae","Mortierella",NA
"OTU273","Fungi","Ascomycota","Sordariomycetes","Sordariales","Chaetomiaceae","Botryotrichum","Botryotrichum peruvianum"
